Name,Symbol,Price,Market Capitalization,Weight,Number of Shares to Buy,Portfolio Allocation
"Palo Alto Networks, Inc.",PANW,245.01,74937535510,0.17732199668599666,7,1715.07
"Axon Enterprise, Inc.",AXON,180.04,13302308692,0.031476774913209694,1,180.04
Fair Isaac Corporation,FICO,834.75,20862990225,0.049367343859923946,0,0.0
Bunge Limited,BG,108.75,16379707500,0.03875871309705678,3,326.25
Insulet Corporation,PODD,280.87,19575459346,0.04632070582058396,1,280.87
GE HealthCare Technologies Inc.,GEHC,77.43,35205639491,0.08330583927888097,10,774.3
"Steel Dynamics, Inc.",STLD,103.76,17538967840,0.04150182917057986,3,311.28
"First Solar, Inc.",FSLR,197.41,21088520660,0.049901008421688514,2,394.82
Arch Capital Group Ltd.,ACGL,82.08,30568480497,0.07233309663168275,8,656.64
Targa Resources Corp.,TRGP,81.38,18393426871,0.0435237048625431,5,406.9
EQT Corporation,EQT,41.52,15015417692,0.03553044316308448,8,332.16
PG&E Corporation,PCG,17.9,41989461427,0.09935815328503425,55,984.5
"CoStar Group, Inc.",CSGP,84.38,34472521495,0.08157108851649689,9,759.42
Invitation Homes Inc.,INVH,35.52,21735327928,0.05143152521080108,14,497.28
Keurig Dr Pepper Inc.,KDP,32.54,45679000159,0.10808857616798663,33,1073.82
ON Semiconductor Corporation,ON,99.25,42863394456,0.10142610959848204,10,992.5
VICI Properties Inc.,VICI,32.75,32887550000,0.07782062743886664,23,753.25
"Warner Bros. Discovery, Inc.",WBD,12.76,31084764621,0.07355476119673565,57,727.32
Camden Property Trust,CPT,111.85,11941329700,0.0282563392441326,2,223.7
"Molina Healthcare, Inc.",MOH,311.17,18141211000,0.04292689551276606,1,311.17
Nordson Corporation,NDSN,247.09,14081930899,0.03332156691851303,1,247.09
Constellation Energy Corporation,CEG,97.34,31578167519,0.0747222827391587,7,681.38
FactSet Research Systems Inc.,FDS,440.42,16876674190,0.03993466751239075,0,0.0
"SolarEdge Technologies, Inc.",SEDG,244.26,13762756422,0.032566315826150966,1,244.26
"EPAM Systems, Inc.",EPAM,232.54,13465344970,0.03186256179758561,1,232.54
"Brown & Brown, Inc.",BRO,71.65,20323092600,0.04808980351622993,6,429.9
Ceridian HCM Holding Inc.,CDAY,69.24,10734346994,0.025400299451299714,3,207.72
"Match Group, Inc.",MTCH,45.0,12530744640,0.029651050630436594,6,270.0
Bio-Techne Corporation,TECH,84.98,13378995580,0.03165823633981319,3,254.94
"Moderna, Inc.",MRNA,120.65,45992864885,0.10883126298741369,9,1085.85
Organon & Co.,OGN,22.29,5685331980,0.01345299670792911,6,133.74
"Charles River Laboratories International, Inc.",CRL,213.03,10903493187,0.025800544007922376,1,213.03
PTC Inc.,PTC,144.19,17065319070,0.040381051111191196,2,288.38
"Caesars Entertainment, Inc.",CZR,59.38,12778813520,0.030238047104471814,5,296.9
Generac Holdings Inc.,GNRC,151.99,9452759667,0.02236772542541941,1,151.99
NXP Semiconductors N.V.,NXPI,218.48,56748652388,0.134282296344492,6,1310.88
"Monolithic Power Systems, Inc.",MPWR,528.8,25077282400,0.059339471953053585,1,528.8
Trimble Inc.,TRMB,53.94,13363473612,0.031621507264863985,5,269.7
"Enphase Energy, Inc.",ENPH,173.36,23757947840,0.05621757800653033,3,520.08
"Tesla, Inc.",TSLA,264.35,837857299622,1.982591611744217,74,19561.9
Pool Corporation,POOL,387.78,15138233196,0.03582105707565931,0,0.0
"Catalent, Inc.",CTLT,48.9,8815300800,0.020859329421569654,4,195.6
"Etsy, Inc.",ETSY,96.39,11889899280,0.028134641289926696,2,192.78
"Teradyne, Inc.",TER,114.64,17773671877,0.0420572008970166,3,343.92
"Bio-Rad Laboratories, Inc.",BIO,422.63,12129649629,0.02870195392306195,0,0.0
Teledyne Technologies Incorporated,TDY,387.87,18247576872,0.04317858525241289,1,387.87
"Tyler Technologies, Inc.",TYL,408.42,17123131026,0.04051784946465286,0,0.0
"West Pharmaceutical Services, Inc.",WST,379.42,28169127292,0.06665559338621278,1,379.42
"Domino's Pizza, Inc.",DPZ,401.36,14085448248,0.033329889895022426,0,0.0
"DexCom, Inc.",DXCM,130.69,50660148840,0.11987528924699992,9,1176.21
Carrier Global Corporation,CARR,54.43,45440233211,0.10752359052128985,19,1034.17
Otis Worldwide Corporation,OTIS,90.73,37497893156,0.08872991673248701,9,816.57
Ingersoll Rand Inc.,IR,64.52,26099566396,0.06175846582731396,9,580.68
"Paycom Software, Inc.",PAYC,358.0,20718569800,0.04902560699936461,1,358.0
"Live Nation Entertainment, Inc.",LYV,97.9,23303626794,0.055142534445717734,5,489.5
STERIS plc,STE,231.86,22873220860,0.054124080354814294,2,463.72
Zebra Technologies Corporation,ZBRA,306.12,15743843436,0.03725409081822154,1,306.12
"Old Dominion Freight Line, Inc.",ODFL,420.75,46136079000,0.1091701453999802,2,841.5
W. R. Berkley Corporation,WRB,61.77,16108072244,0.03811595235457407,6,370.62
"ServiceNow, Inc.",NOW,577.27,117612989800,0.2783033902250859,4,2309.08
Las Vegas Sands Corp.,LVS,58.57,44773659384,0.10594630083411441,18,1054.26
"NVR, Inc.",NVR,6382.98,20811961609,0.04924659668008059,0,0.0
CDW Corporation,CDW,189.63,25559660327,0.06048090550288626,3,568.89
IDEX Corporation,IEX,211.98,16020685272,0.037909171703810404,1,211.98
"Leidos Holdings, Inc.",LDOS,93.68,12852239491,0.03041179234039021,3,281.04
"T-Mobile US, Inc.",TMUS,141.09,169292486872,0.4005907265535175,28,3950.52
MarketAxess Holdings Inc.,MKTX,274.38,10335729972,0.02445706632022572,0,0.0
Amcor plc,AMCR,10.15,14935116000,0.03534042815570805,34,345.1
"Corteva, Inc.",CTVA,55.79,39659606009,0.09384510015488005,16,892.64
"DuPont de Nemours, Inc.",DD,76.63,35174472097,0.08323208899475476,10,766.3
Dow Inc.,DOW,53.7,37982815930,0.08987737206230258,16,859.2
Westinghouse Air Brake Technologies Corporation,WAB,113.04,20332504800,0.04811207526677322,4,452.16
Atmos Energy Corporation,ATO,124.41,17975628665,0.04253508398522774,3,373.23
Teleflex Incorporated,TFX,256.07,12028043219,0.028461526327269292,1,256.07
Celanese Corporation,CE,125.1,13609378800,0.0322033838722924,2,250.2
"Diamondback Energy, Inc.",FANG,144.99,26256819060,0.06213056715377073,4,579.96
"Lamb Weston Holdings, Inc.",LW,101.76,14826839040,0.03508421627721989,3,305.28
"Jack Henry & Associates, Inc.",JKHY,170.87,12452201828,0.029465197597582125,1,170.87
"Keysight Technologies, Inc.",KEYS,169.0,30144192000,0.07132911801206426,4,676.0
"Fortinet, Inc.",FTNT,77.26,60664245432,0.14354762342052355,18,1390.68
"Rollins, Inc.",ROL,44.8,22076857958,0.05223967544466815,11,492.8
"Arista Networks, Inc.",ANET,164.45,50386659066,0.11922814022523351,7,1151.15
"Copart, Inc.",CPRT,89.58,42769075200,0.10120292533326657,11,985.38
"FLEETCOR Technologies, Inc.",FLT,250.97,18530169174,0.043847273258999994,1,250.97
"Broadridge Financial Solutions, Inc.",BR,171.98,20240842140,0.047895177209182564,2,343.96
"Evergy, Inc.",EVRG,61.32,14084038429,0.03332655389099795,5,306.6
MSCI Inc.,MSCI,557.25,44615329650,0.10557165087563138,1,557.25
"Take-Two Interactive Software, Inc.",TTWO,150.25,25442433500,0.0602035158758144,4,601.0
"Huntington Ingalls Industries, Inc.",HII,234.46,9352773522,0.02213113180445666,0,0.0
Norwegian Cruise Line Holdings Ltd.,NCLH,20.77,8809906884,0.0208465659920204,10,207.7
"Cadence Design Systems, Inc.",CDNS,233.96,63587992143,0.15046598017018545,6,1403.76
SBA Communications Corporation,SBAC,226.4,24527949600,0.0580396054938996,2,452.8
IQVIA Holdings Inc.,IQV,231.96,43039944184,0.10184387287385892,4,927.84
A. O. Smith Corporation,AOS,75.07,11293681015,0.02672383144021723,3,225.21
MGM Resorts International,MGM,50.17,18251796231,0.04318856936995189,8,401.36
Packaging Corporation of America,PKG,150.55,13539292710,0.032037541676734,2,301.1
ResMed Inc.,RMD,221.63,32564319303,0.07705577825891732,3,664.89
Baker Hughes Company,BKR,35.53,35872863932,0.0848846684905786,23,817.19
"Align Technology, Inc.",ALGN,339.85,26004302450,0.061533046176107886,1,339.85
"ANSYS, Inc.",ANSS,338.48,29333115470,0.06940989677285554,2,676.96
"Everest Group, Ltd.",EG,364.75,15835694200,0.037471433979546095,1,364.75
Hilton Worldwide Holdings Inc.,HLT,150.26,39762854222,0.09408941269009784,6,901.56
"Gartner, Inc.",IT,357.16,28237283896,0.06681686990840377,1,357.16
DXC Technology Company,DXC,28.38,5980205447,0.01415074519381553,4,113.52
"Advanced Micro Devices, Inc.",AMD,110.09,177284539446,0.419502033289139,38,4183.42
"Alexandria Real Estate Equities, Inc.",ARE,127.35,22035115800,0.05214090247659324,4,509.4
"Raymond James Financial, Inc.",RJF,110.75,23469144136,0.05553419218265629,5,553.75
"Synopsys, Inc.",SNPS,449.33,68370052800,0.1617815984141245,3,1347.99
Regency Centers Corporation,REG,65.92,11272188160,0.026672973669980393,4,263.68
"Cboe Global Markets, Inc.",CBOE,143.72,15173095280,0.035903549971928767,2,287.44
Incyte Corporation,INCY,62.8,14009926400,0.03315118526069416,5,314.0
"IDEXX Laboratories, Inc.",IDXX,556.16,46107554944,0.10910264995154999,1,556.16
"Mid-America Apartment Communities, Inc.",MAA,152.92,17839647200,0.042213315932382325,2,305.84
"The Cooper Companies, Inc.",COO,389.47,19281841813,0.045625929206177834,1,389.47
"Charter Communications, Inc.",CHTR,394.57,59412380907,0.14058538139264495,3,1183.71
Mettler-Toledo International Inc.,MTD,1335.02,29397407404,0.06956202846533913,0,0.0
Albemarle Corporation,ALB,210.02,24642906720,0.05831162439488083,2,420.04
Fortive Corporation,FTV,76.74,26992682308,0.06387181390728573,8,613.92
Alliant Energy Corporation,LNT,55.66,13992256080,0.03310937261762875,5,278.3
TransDigm Group Incorporated,TDG,891.98,48994945034,0.11593497733575968,1,891.98
Arthur J. Gallagher & Co.,AJG,219.75,47080558500,0.11140503329199854,5,1098.75
LKQ Corporation,LKQ,57.45,15355810500,0.0363359024294098,6,344.7
"Digital Realty Trust, Inc.",DLR,118.64,34565409029,0.08179088494940627,6,711.84
"Alaska Air Group, Inc.",ALK,47.86,6121820460,0.01448584370879835,3,143.58
Global Payments Inc.,GPN,111.33,29163226599,0.06900789484397667,6,667.98
"Ulta Beauty, Inc.",ULTA,454.74,22646779584,0.05358826050273113,1,454.74
Centene Corporation,CNC,69.97,38397368609,0.09085831316573663,12,839.64
"Hologic, Inc.",HOLX,81.9,20192772600,0.04778143198451555,5,409.5
"UDR, Inc.",UDR,42.51,23368768430,0.05529667675750181,13,552.63
"American Water Works Company, Inc.",AWK,147.78,28764490320,0.06806437951935021,4,591.12
Federal Realty Investment Trust,FRT,102.93,8390380122,0.019853854894774297,1,102.93
"Citizens Financial Group, Inc.",CFG,32.44,15398716780,0.03643743001752956,11,356.84
Extra Space Storage Inc.,EXR,144.56,31575229025,0.07471532948642916,5,722.8
Willis Towers Watson Public Limited Company,WTW,232.93,24786780090,0.058652066778857266,2,465.86
"Church & Dwight Co., Inc.",CHD,97.91,23915888240,0.05659130669796357,5,489.55
"Illumina, Inc.",ILMN,191.19,30227139000,0.07152539251667685,3,573.57
Synchrony Financial,SYF,34.86,14577859659,0.034495065317395865,9,313.74
Hewlett Packard Enterprise Company,HPE,17.45,22537024000,0.05332854980942016,30,523.5
"Verisk Analytics, Inc.",VRSK,237.01,34316916806,0.08120288673404699,3,711.03
Fox Corporation,FOX,31.17,16284330026,0.03853302480862501,12,374.04
News Corporation,NWS,19.47,11045273447,0.026136033540941583,13,253.11
"United Airlines Holdings, Inc.",UAL,54.57,17897868600,0.04235108313846393,7,381.99
"Activision Blizzard, Inc.",ATVI,92.67,72853352306,0.17239026888526882,18,1668.06
"PayPal Holdings, Inc.",PYPL,73.43,81926581775,0.1938599256451793,26,1909.18
"Advance Auto Parts, Inc.",AAP,73.09,4344754651,0.010280836760681597,1,73.09
The Kraft Heinz Company,KHC,36.36,44622444073,0.10558848547905199,29,1054.44
"J.B. Hunt Transport Services, Inc.",JBHT,202.83,20961466350,0.049600364374837586,2,405.66
"Qorvo, Inc.",QRVO,106.97,10495703854,0.024835606767023104,2,213.94
Realty Income Corporation,O,63.75,42917903520,0.10155509243732486,15,956.25
American Airlines Group Inc.,AAL,16.76,10941983478,0.025891622200001893,15,251.4
"Equinix, Inc.",EQIX,813.03,76037245347,0.17992420054478314,2,1626.06
"Henry Schein, Inc.",HSIC,79.82,10456659460,0.02474321742093164,3,239.46
"Skyworks Solutions, Inc.",SWKS,112.71,17938360952,0.042446898735524694,3,338.13
"HCA Healthcare, Inc.",HCA,282.18,77624611763,0.1836803286378915,6,1693.08
Royal Caribbean Cruises Ltd.,RCL,100.88,25798747753,0.06104664948515504,6,605.28
"Universal Health Services, Inc.",UHS,141.43,9925627266,0.023486655027949558,1,141.43
"United Rentals, Inc.",URI,445.0,30585384000,0.0723730947832439,1,445.0
"Martin Marietta Materials, Inc.",MLM,458.39,28405878232,0.06721580862564355,1,458.39
Broadcom Inc.,AVGO,893.09,368564839505,0.8721217318463761,9,8037.81
Alphabet Inc.,GOOGL,129.27,1643448256743,3.8888325370254653,300,38781.0
"Essex Property Trust, Inc.",ESS,239.45,15909657104,0.037646449740722614,1,239.45
Tractor Supply Company,TSCO,214.52,23504527360,0.055617918233775626,2,429.04
"Meta Platforms, Inc.",META,298.57,765154298489,1.810557113435322,60,17914.2
"Mohawk Industries, Inc.",MHK,116.11,7393838356,0.017495773934071653,1,116.11
Allegion plc,ALLE,117.3,10316148379,0.024410731100560152,2,234.6
"AMETEK, Inc.",AME,158.76,36590212270,0.08658210407806957,5,793.8
Vertex Pharmaceuticals Incorporated,VRTX,351.91,90635124320,0.2144666368453132,6,2111.46
"Delta Air Lines, Inc.",DAL,46.43,29873896997,0.07068952866208075,15,696.45
News Corporation,NWSA,19.2,11021837318,0.02608057747128853,13,249.6
Fox Corporation,FOXA,33.15,16244163895,0.03843798113659071,11,364.65
Zoetis Inc.,ZTS,192.0,88725504000,0.20994797092242115,10,1920.0
General Motors Company,GM,38.29,53227692349,0.12595077516331077,32,1225.28
"Regeneron Pharmaceuticals, Inc.",REGN,730.96,78864736320,0.1866147908014788,2,1461.92
AbbVie Inc.,ABBV,141.9,250352757811,0.5924007320065691,41,5817.9
Aptiv PLC,APTV,110.39,29861155574,0.07065937909081978,6,662.34
Garmin Ltd.,GRMN,105.62,20204049800,0.047808116817522374,4,422.48
Dollar General Corporation,DG,164.88,36164942761,0.08557580412501746,5,824.4
"Mondelez International, Inc.",MDLZ,73.67,100327488321,0.23740132939382183,32,2357.44
Pentair plc,PNR,66.92,11038454000,0.02611989692862701,3,200.76
LyondellBasell Industries N.V.,LYB,94.99,30897775740,0.07311229612884486,7,664.93
Seagate Technology Holdings plc,STX,57.97,12004543540,0.02840591988153551,4,231.88
Lam Research Corporation,LRCX,642.37,86295985800,0.204199089333548,3,1927.11
Monster Beverage Corporation,MNST,58.17,60887121631,0.1440750073590465,24,1396.08
"Kinder Morgan, Inc.",KMI,17.95,39995651213,0.09464027184213258,52,933.4
Phillips 66,PSX,109.59,50286688333,0.11899158307313237,10,1095.9
Crown Castle Inc.,CCI,112.46,48770641560,0.11540421608770692,10,1124.6
BorgWarner Inc.,BWA,46.4,10874906829,0.02573290113650897,5,232.0
"Dollar Tree, Inc.",DLTR,151.73,33439014836,0.07912553885817247,5,758.65
Xylem Inc.,XYL,113.83,27250446680,0.06448175247554105,5,569.15
TE Connectivity Ltd.,TEL,144.43,45512060605,0.10769355310191317,7,1011.01
The Mosaic Company,MOS,40.46,13437129816,0.03179579729285467,7,283.22
Accenture plc,ACN,316.51,199652927982,0.4724315470616113,14,4431.14
Marathon Petroleum Corporation,MPC,130.35,56050500000,0.13263028344349745,10,1303.5
"Chipotle Mexican Grill, Inc.",CMG,2087.86,57603639828,0.13630542239167856,0,0.0
"BlackRock, Inc.",BLK,743.16,111028104000,0.2627218116468919,3,2229.48
Edwards Lifesciences Corporation,EW,91.63,55547753874,0.13144065335649555,14,1282.82
"F5, Inc.",FFIV,154.89,9365888520,0.022162165352812176,1,154.89
"Netflix, Inc.",NFLX,422.67,187894141089,0.44460715230027514,10,4226.7
Trane Technologies plc,TT,194.28,44305942560,0.1048395593253248,5,971.4
Johnson Controls International plc,JCI,68.75,47169306800,0.11161503520427635,16,1100.0
Chubb Limited,CB,205.89,85271198157,0.2017741711693838,9,1853.01
"CarMax, Inc.",KMX,83.01,13133012100,0.031076174472839342,3,249.03
"ONEOK, Inc.",OKE,67.6,30247281459,0.07157305489339819,10,676.0
Berkshire Hathaway Inc.,BRK-B,349.8,764407464539,1.8087899071040008,51,17839.8
"NRG Energy, Inc.",NRG,38.5,8863932000,0.020974403682106086,5,192.5
"Roper Technologies, Inc.",ROP,493.85,52640459200,0.12456122647062672,2,987.7
"Ross Stores, Inc.",ROST,113.48,38657642880,0.09147419081777863,8,907.84
Visa Inc.,V,237.1,496582249247,1.1750447269986728,49,11617.9
Booking Holdings Inc.,BKNG,2958.16,109255793992,0.2585280581797366,0,0.0
FMC Corporation,FMC,95.29,11924781180,0.028217181076084674,2,190.58
"Quanta Services, Inc.",PWR,202.65,29419916400,0.0696152906934996,3,607.95
Western Digital Corporation,WDC,38.88,12439150249,0.029434314115326748,7,272.16
"O'Reilly Automotive, Inc.",ORLY,965.62,58785883418,0.1391029229035555,1,965.62
Hormel Foods Corporation,HRL,40.81,22293198386,0.05275159402319872,12,489.72
"Ventas, Inc.",VTR,48.87,19550541240,0.046261743002024715,9,439.83
Welltower Inc.,WELL,83.24,41372861106,0.09789911410883456,11,915.64
Iron Mountain Incorporated,IRM,62.43,18206024389,0.0430802611054727,6,374.58
Eversource Energy,ES,73.62,25681746862,0.060769794482318826,8,588.96
"Republic Services, Inc.",RSG,152.87,48350026894,0.11440893072232976,7,1070.09
"Wynn Resorts, Limited",WYNN,109.53,12464294940,0.029493813093827013,2,219.06
DENTSPLY SIRONA Inc.,XRAY,40.47,8598984660,0.020347468314860468,5,202.35
The J. M. Smucker Company,SJM,152.23,15543900840,0.03678097384014091,2,304.46
"WEC Energy Group, Inc.",WEC,92.54,29190355640,0.06907208931855549,7,647.78
"Nasdaq, Inc.",NDAQ,50.92,24989753393,0.05913235520997479,11,560.12
Amphenol Corporation,APH,88.6,52745261274,0.12480921585127608,14,1240.4
Pioneer Natural Resources Company,PXD,220.55,51550474800,0.12198203556383748,5,1102.75
"L3Harris Technologies, Inc.",LHX,202.56,38375598060,0.09080679829816916,4,810.24
